cnf_path,clause_count,var_count,tseitin_var_count,compile_time,timestamp,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_032.cnf,7345,2646,1985,0.607,1710396665.7637699,1469,70849,1661,71397,1469,20808,1661,21356,1469,20808,1661,21356
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_098.cnf,135961,33446,30521,37.733,1710397307.5071151,3209,1494730,3210,1494865,3209,99917,3210,100052,3209,99917,3210,100052
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_156.cnf,5216,1843,968,82.747,1710397576.3075588,347044,76207823,347045,76207872,347044,33418754,347045,33418803,347044,33418754,347045,33418803
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_072.cnf,5667,2065,1060,1.403,1710401135.906798,722,566087,723,566313,722,337767,723,337993,722,337767,723,337993
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_private/mc2023_mc2023_track2_056.cnf,5667,2065,1060,1.372,1710401748.8775814,722,566087,723,566313,722,337767,723,337993,722,337767,723,337993
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_099.cnf,65874,16162,14651,311.964,1710403893.4385471,85171,31401460,85172,31403302,85171,2468110,85172,2469952,85171,2468110,85172,2469952
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_079.cnf,8311,3045,1528,27.923,1710405650.5287178,13860,13593010,13861,13597486,13860,8017083,13861,8021559,13860,8017083,13861,8021559
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_081.cnf,55671,13808,12301,6.173,1710406590.803443,2220,628422,2221,628508,2220,56367,2221,56453,2220,56367,2221,56453
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_009.cnf,26244,9532,8643,88.500,1710407914.5992086,225373,14521070,226074,14527955,225373,998517,226074,1005402,205484,921094,206222,952875
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_033.cnf,27021,6772,6012,4.569,1710408080.969894,2912,688281,2913,688326,2912,67025,2913,67070,2912,67025,2913,67070
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_065.cnf,24593,6139,5461,15.136,1710408110.9550574,7828,2430124,7829,2430406,7828,227033,7829,227315,7828,227033,7829,227315
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_025.cnf,6674,2649,1905,0.509,1710408161.2431703,1458,45268,1838,46408,1458,13084,1838,14224,1458,13084,1838,14224
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_115.cnf,78082,20192,12696,15.035,1710408178.8383152,18051,2414037,18064,2414760,18051,1129917,18064,1130640,18051,1129917,18064,1130640
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_075.cnf,2152,586,243,4.517,1710409455.1802664,52370,3429272,52370,3429272,52370,2157644,52370,2157644,52370,2157644,52370,2157644
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_023.cnf,7687,3012,2089,0.566,1710409502.232704,2213,75218,2539,76158,2213,19856,2539,20796,2190,19731,2517,20795
../sources/cnf2tseitin/cnf/MC2023_track2-wmc_public/mc2023_mc2023_track2_035.cnf,6675,2374,1447,0.660,1710409503.948041,1884,70522,2106,71335,1884,32725,2106,33538,1847,32657,2073,33505
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_103.cnf,2638,892,243,2.664,1710412515.0110686,19520,1897456,19520,1897456,19520,1405871,19520,1405871,19520,1405871,19520,1405871
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_149.cnf,44425,17849,8694,2.714,1710412547.4926796,14415,283154,14447,283203,14415,142899,14447,142948,14383,142867,14415,142947
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_087.cnf,7345,2646,1985,0.610,1710412555.3112051,1469,70849,1661,71397,1469,20808,1661,21356,1469,20808,1661,21356
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_075.cnf,17634,8169,2819,968.225,1712625601.1296723,3699257,374782845,3699258,374783001,3699257,249848645,3699258,249848801,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_003.cnf,500,200,100,0.000,1712635449.9548438,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_105.cnf,24552,10926,3449,0.000,1712639052.043935,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_139.cnf,19238,6615,5761,0.000,1712642654.357537,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_061.cnf,2494,568,197,0.000,1712646256.7757194,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_085.cnf,4974,1112,393,0.000,1712649859.086288,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_137.cnf,14474,5155,4779,0.000,1712653461.1696591,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_115.cnf,24476,10908,3449,0.000,1712657063.5167532,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_163.cnf,43212,15011,14297,0.000,1712660666.3513958,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track1-mc_public/mc2022_track1_185.cnf,22421,7657,7312,0.000,1712664269.2604487,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_157.cnf,14402,5107,4756,0.000,1712667871.525116,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_197.cnf,126997,50461,21516,0.000,1712671475.3285704,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_001.cnf,350,140,70,1418.545,1712674438.9140205,21104055,127419233,21104111,145613228,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2,MEM_ERR2
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_195.cnf,57754,23492,13141,0.000,1712682704.4767208,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_109.cnf,24836,10995,3449,0.000,1712686306.6952622,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_141.cnf,19474,6725,5838,0.000,1712689909.073156,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_105.cnf,8914,3498,2433,0.000,1712693510.964945,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_193.cnf,57946,25615,9241,0.000,1712697114.1503806,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
../sources/cnf2tseitin/cnf/MC2022_track2-wmc_public/mc2022_track2_099.cnf,7454,1656,589,0.000,1712700716.575128,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
